review_id,text_snippet,actual_stars,predicted_stars,reason,version
0,We got here around midnight last Friday....,4,4,"Strong positive sentiment regarding well-made pub grub, friendly service, and quality cocktails. The atmosphere works well for a sports bar, and the patio is praised for day-drinking.",Few-Shot
1,Brought a friend from Louisiana here.  S...,5,5,"Extremely high praise for the food quality. The dish was called ""the best"" outside of its region of origin (Louisiana), indicating strong positive sentiment.",Few-Shot
2,"Every friday, my dad and I eat here. We ...",3,4,"The reviewer is a weekly repeat customer, indicating high satisfaction. Food items are described positively ('good and filling,' 'hits the spot'). The experience is reliable and above average.",Few-Shot
3,"My husband and I were really, really dis...",1,1,"Strong negative sentiment based on alleged dishonesty and massive overcharge attempt. The dealer quoted $3000 for a new track when the issue was only dirt and debris, fixed for $100 elsewhere.",Few-Shot
4,Love this place!  Was in phoenix 3 weeks...,5,5,"Overwhelmingly positive sentiment ('Love this place!'). The reviewer was a repeat customer (ate there 3 times) and gave specific, high praise for the food quality ('amazing').",Few-Shot
5,This hotel is in a good location for get...,4,5,"Strong positive sentiment highlighting great value (free parking, lower price), cleanliness, and convenient location. The reviewer explicitly states they would stay again.",Few-Shot
6,I love that this place has top seafood p...,4,4,"Strong positive sentiment regarding top food quality, selection, and late hours (till 2 AM). Drinks are inexpensive and happy hour is good. Service is noted as 'hit and miss' but staff showed responsiveness.",Few-Shot
7,Awesome if you like ramen...even awesome...,4,5,"Extremely positive sentiment using superlative adjectives (""Awesome"", ""awesomer""). High satisfaction with both core offerings.",Few-Shot
8,"Great place for a ""home office"" morning....",5,5,"Overwhelmingly positive sentiment. Highlights include ""awesome"" food, generous portions, and being a favorite spot.",Few-Shot
9,"1 star for service, but the food is not ...",1,1,Strong negative sentiment. Explicitly mentions 1 star for service and severe disappointment with food quantity (little to no meat). Customer states they will not return.,Few-Shot
